330 U.S. 610,67 S. Ct. 903,91 L. Ed. 1133,1947 U.S. LEXIS 2472,NEW YORK EX REL. HALVEY v. HALVEY,3/31/1947,2
330 U.S. 622,67 S. Ct. 886,91 L. Ed. 1140,1947 U.S. LEXIS 2473,INDUSTRIAL COMMISSION OF WISCONSIN ET AL. v. McCARTIN ET AL.,3/31/1947,3
330 U.S. 631,67 S. Ct. 874,91 L. Ed. 1145,1947 U.S. LEXIS 2474,HAUPT v. UNITED STATES,3/31/1947,2
330 U.S. 649,67 S. Ct. 931,91 L. Ed. 1158,1947 U.S. LEXIS 2853,LEVINSON v. SPECTOR MOTOR SERVICE,3/31/1947,2
330 U.S. 695,67 S. Ct. 954,91 L. Ed. 1184,1947 U.S. LEXIS 2892,PYRAMID MOTOR FREIGHT CORP. v. ISPASS ET AL.,3/31/1947,5
330 U.S. 709,67 S. Ct. 997,91 L. Ed. 1192,1947 U.S. LEXIS 2438,"UNITED STATES v. OGILVIE HARDWARE CO., INC.",4/7/1947,2
330 U.S. 724,67 S. Ct. 1004,91 L. Ed. 1204,1947 U.S. LEXIS 2439,UNITED STATES v. LEM HOY,4/7/1947,3
330 U.S. 731,67 S. Ct. 1009,91 L. Ed. 1209,1947 U.S. LEXIS 2868,"LAND, CHAIRMAN, UNITED STATES MARITIME COMMISSION, ET AL. v. DOLLAR ET AL.",4/7/1947,2
330 U.S. 743,67 S. Ct. 1015,91 L. Ed. 1219,1947 U.S. LEXIS 2440,"BRUCE'S JUICES, INC. v. AMERICAN CAN CO.",4/7/1947,2
330 U.S. 767,67 S. Ct. 1026,91 L. Ed. 1234,1947 U.S. LEXIS 2943,BETHLEHEM STEEL CO. ET AL. v. NEW YORK STATE LABOR RELATIONS BOARD,4/7/1947,3
331 U.S. 1,67 S. Ct. 1047,91 L. Ed. 1301,1947 U.S. LEXIS 3021,CRANE v. COMMISSIONER OF INTERNAL REVENUE,4/14/1947,2
331 U.S. 17,67 S. Ct. 1056,91 L. Ed. 1312,1947 U.S. LEXIS 2941,"WALLING, WAGE AND HOUR ADMINISTRATOR, v. HALLIBURTON OIL WELL CEMENTING CO.",4/14/1947,2
331 U.S. 28,67 S. Ct. 1041,91 L. Ed. 1320,1947 U.S. LEXIS 2852,UNITED STATES NATIONAL BANK ET AL. v. CHASE NATIONAL BANK ET AL.,4/14/1947,4
331 U.S. 40,67 S. Ct. 982,91 L. Ed. 1328,1947 U.S. LEXIS 2942,TRAILMOBILE COMPANY ET AL. v. WHIRLS,4/14/1947,3
331 U.S. 70,67 S. Ct. 1062,91 L. Ed. 1346,1947 U.S. LEXIS 2880,"INDEPENDENT WAREHOUSES, INC. ET AL. v. SCHEELE, RECORDER OF THE TOWNSHIP OF SADDLE RIVER, ET AL.",4/14/1947,2
331 U.S. 96,67 S. Ct. 1165,91 L. Ed. 1365,1947 U.S. LEXIS 2996,McCULLOUGH v. KAMMERER CORPORATION ET AL.,4/28/1947,3
331 U.S. 100,67 S. Ct. 1140,91 L. Ed. 1368,1947 U.S. LEXIS 2357,"FLEMING, TEMPORARY CONTROLS ADMINISTRATOR, v. RHODES, SHERIFF, ET AL.",4/28/1947,3
331 U.S. 111,67 S. Ct. 1129,91 L. Ed. 1375,1947 U.S. LEXIS 2851,"FLEMING, TEMPORARY CONTROLS ADMINISTRATOR, v. MOHAWK WRECKING & LUMBER CO. ET AL.",4/28/1947,3
331 U.S. 125,67 S. Ct. 1136,91 L. Ed. 1386,1947 U.S. LEXIS 2997,"CHAMPION SPARK PLUG CO. v. SANDERS ET AL., DOING BUSINESS AS PERFECT RECONDITION SPARK PLUG CO.",4/28/1947,2
331 U.S. 132,67 S. Ct. 1168,91 L. Ed. 1391,1947 U.S. LEXIS 2899,AYRSHIRE COLLIERIES CORP. ET AL. v. UNITED STATES ET AL.,4/28/1947,5
